Our Project,,,,,
Parts,300,,,our budget,
Development,400,,,,
Time,75000,,,,
,,,,,
,,,,,
,,,,,
,Full Scale Production,,,,
Fixed Costs,Prototyping,120700,,,"""our project"""
,Automated Equipment,2000000,,,
,Marketing/Advertising,120000,,,
,Certification,1000000,,,
,Facilities,0,,,
,,,,,
,Total,3240700,,,
,,,,,
,,,,,
,system,Breakers,Base station,E meter,
,number of devices,1600000,64000,830000,
,Single device parts,35,100,200,
Variable Costs,total device parts,56000000,6400000,166000000,
,Labor,48000000,960000,37350000,
,Shipping,8000000,768000,16600000,
,Inventory,5100,31800,6500,
,,,,,
,Total,70,127,265,per device
,,,,,
,,,,,
,,,,,
Totals,Total,115245800,11400500,223197200,
,Total per device,72,178,269,
,,,,,
,Full System,,349843500.00,,
